Timepoint,,,,,,,,,,,,,,,,,,,,,
13.333,76.538,199760,119.61,99.477,13.778,470.23,347.39,217.08,9204.1,6.0898,14365,5441.2,6.0898,98910,56.578,0.87729,0.021559,0.021559,0.054009,0.010556,0.12932
13.5,76.905,199760,122.03,103.1,14.117,482.33,354.51,222.32,9188.5,6.0661,14339,5426.7,6.0661,98884,57.822,0.87966,0.022111,0.022111,0.053595,0.010828,0.13336
13.667,77.258,199750,124.42,106.78,14.454,494.42,361.67,227.65,9172.9,6.0431,14312,5411.8,6.0431,98858,59.079,0.88189,0.022677,0.022677,0.053183,0.011106,0.13748
13.833,77.597,199740,126.79,110.51,14.788,506.46,368.85,233.06,9157.2,6.0208,14284,5396.4,6.0208,98832,60.345,0.884,0.023258,0.023258,0.052776,0.011391,0.14171
14,77.923,199740,129.14,114.28,15.118,518.42,376.03,238.53,9141.5,5.9993,14255,5380.6,5.9993,98806,61.618,0.886,0.023853,0.023853,0.052371,0.011683,0.14605
14.167,78.237,199730,131.45,118.1,15.444,530.32,383.22,244.08,9125.8,5.9786,14226,5364.4,5.9786,98781,62.897,0.88788,0.024462,0.024462,0.051969,0.011981,0.15049
14.333,78.537,199720,133.74,121.96,15.767,542.16,390.42,249.7,9110.1,5.9586,14196,5347.8,5.9586,98755,64.182,0.88964,0.025086,0.025086,0.05157,0.012285,0.15503
14.5,78.825,199720,136.01,125.87,16.086,553.92,397.62,255.38,9094.3,5.9394,14165,5330.7,5.9394,98729,65.474,0.89129,0.025724,0.025724,0.051175,0.012596,0.15969
14.667,79.1,199710,138.24,129.83,16.401,565.61,404.82,261.14,9078.6,5.921,14133,5313.2,5.921,98703,66.772,0.89281,0.026377,0.026377,0.050782,0.012914,0.16445
14.833,79.362,199700,140.45,133.83,16.713,577.24,412.04,266.97,9062.7,5.9033,14101,5295.3,5.9033,98677,68.078,0.89422,0.027045,0.027045,0.050393,0.013239,0.16931
15,79.612,199690,142.63,137.86,17.02,588.77,419.25,272.87,9046.9,5.8865,14067,5277,5.8865,98651,69.385,0.89552,0.027727,0.027727,0.050006,0.01357,0.17429
15.167,79.852,199690,144.77,141.93,17.322,600.18,426.43,278.82,9031.2,5.8705,14033,5258.3,5.8705,98625,70.692,0.89673,0.028424,0.028424,0.049622,0.013908,0.1794
15.333,80.079,199680,146.88,146.03,17.618,611.47,433.58,284.83,9015.4,5.8554,13999,5239.2,5.8554,98599,71.998,0.89782,0.029135,0.029135,0.049242,0.014253,0.18463
15.5,80.296,199670,148.96,150.17,17.908,622.65,440.71,290.9,8999.6,5.8411,13963,5219.8,5.8411,98574,73.303,0.89882,0.029862,0.029862,0.048864,0.014605,0.18998
15.667,80.502,199660,151,154.33,18.194,633.71,447.82,297.04,8983.8,5.8276,13927,5199.9,5.8276,98548,74.609,0.89972,0.030603,0.030603,0.048489,0.014964,0.19546
15.833,80.696,199660,153.01,158.53,18.474,644.66,454.9,303.23,8968.1,5.8149,13890,5179.7,5.8149,98522,75.913,0.90052,0.03136,0.03136,0.048117,0.01533,0.20106
16,80.879,199650,154.99,162.75,18.748,655.48,461.96,309.47,8952.3,5.8031,13852,5159.1,5.8031,98497,77.217,0.90121,0.032131,0.032131,0.047748,0.015703,0.20679
16.167,81.05,199640,156.93,167.02,19.017,666.2,469,315.78,8936.6,5.7922,13814,5138.1,5.7922,98472,78.522,0.9018,0.032916,0.032916,0.047381,0.016082,0.21264
16.333,81.211,199630,158.84,171.31,19.28,676.79,476.01,322.15,8920.9,5.7821,13775,5116.7,5.7821,98446,79.824,0.9023,0.033717,0.033717,0.047018,0.016469,0.21861
16.5,81.363,199630,160.71,175.61,19.537,687.22,482.97,328.57,8905.2,5.7729,13735,5095,5.7729,98421,81.119,0.9027,0.034533,0.034533,0.046657,0.016862,0.22473
16.667,81.504,199620,162.54,179.94,19.787,697.5,489.88,335.03,8889.6,5.7646,13694,5072.9,5.7646,98396,82.407,0.90303,0.035365,0.035365,0.046299,0.017263,0.23099
16.833,81.636,199610,164.34,184.28,20.03,707.62,496.74,341.55,8874,5.7572,13653,5050.5,5.7572,98372,83.689,0.90326,0.036211,0.036211,0.045944,0.017671,0.2374
17,81.758,199600,166.1,188.64,20.267,717.59,503.55,348.12,8858.5,5.7508,13611,5027.8,5.7508,98347,84.964,0.90341,0.037074,0.037074,0.045592,0.018085,0.24394
17.167,81.871,199600,167.82,193.01,20.497,727.41,510.31,354.74,8843,5.7452,13569,5004.8,5.7452,98323,86.232,0.90347,0.037951,0.037951,0.045242,0.018507,0.25063
17.333,81.974,199590,169.5,197.41,20.721,737.08,517.03,361.4,8827.5,5.7406,13526,4981.4,5.7406,98298,87.493,0.90345,0.038844,0.038844,0.044895,0.018936,0.25746
17.5,82.067,199580,171.14,201.82,20.937,746.59,523.69,368.12,8812.1,5.7368,13482,4957.7,5.7368,98274,88.748,0.90334,0.039752,0.039752,0.04455,0.019372,0.26443
17.667,82.15,199570,172.75,206.25,21.148,755.95,530.31,374.89,8796.8,5.734,13437,4933.6,5.734,98250,89.996,0.90314,0.040675,0.040675,0.044209,0.019815,0.27154
17.833,82.225,199570,174.32,210.69,21.351,765.13,536.86,381.71,8781.5,5.7321,13392,4909.3,5.7321,98226,91.234,0.90287,0.041614,0.041614,0.04387,0.020265,0.2788
